feature;Hydra-2008;Psybot-2009;ChuckNorris-2009;Tsunami-2010;Aidra-2012;Carna-2012;Bashlite-2014;Darlloz-2014;Spike-2014;TheMoon1-2014;Wifatch-2014;XOR-2014;Elknot-2015;Remaiten-2016;Hajime-2016;Mirai-2016;NewAidra-2016;LuaBot-2016;Amnesia-2017;BrickerBot-2017;IoTReaper-2017;Persirai-2017;Satori-2017;JenX-2018;TheMoon2-2018;VPNFilter-2018;HideNSeek-2018;Echobot-2019
2.1.1;0;0;0;1;1;1;1;0;0;0;1;1;0;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0
2.1.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
2.1.3;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;1;1;1;1;1
2.2.1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;0;1;1;1;1;1
2.2.2;1;1;1;0;1;0;1;1;0;0;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0;1;1;1
2.2.3;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
2.2.4;0;0;0;0;1;0;1;1;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;1;1;1
2.2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2.2.6;0;0;0;0;1;0;1;1;0;0;0;1;0;1;0;1;1;0;1;0;0;0;0;0;0;1;1;1
2.2.7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1
2.2.8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;1
2.2.9;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;1;1;0;1;0;0;0;0;0;0;1;1;1
2.3.1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.3.2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.3.3;0;0;1;0;1;0;1;1;0;0;1;0;0;1;1;0;1;0;1;1;1;1;1;0;0;0;0;0
2.3.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1
2.3.5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0

